Frequency (a),Average L2 Loss u,Average L2 Loss r
0.0,inf,inf
2.0,0.00016863445895929166,0.0032081251266133913
4.0,0.0004712408440607636,0.0032234578645421773
6.0,0.0012451995805888127,0.006252122078068003
8.0,0.0007172917694137023,0.003781678601025632
10.0,0.002483353675801094,0.003112499127699168
12.0,0.0016177600535110315,0.003973515522527532
14.0,0.02249352820247925,0.014892711360913578
16.0,0.40505061954953436,0.07136533568598968
18.0,0.9808575995942311,0.45666416836086193
20.0,1.113432841736042,0.6564733652034599
22.0,1.036739975748387,0.8137174017717714
24.0,2.157254578335052,0.908094235813733
26.0,1.1384915345405846,0.9642881384681743
28.0,1.5211212689557647,0.9843415464722576
30.0,1.8521985376226853,0.9871189945318035
32.0,1.2839399916109995,0.989766420562961
34.0,1.337101435269003,0.991668103412727
36.0,1.001132850225351,0.9924349775039158
38.0,1.0231162172801624,0.9937010753544131
40.0,1.169718503627542,0.9944399190087475
