Frequency (a),Average L2 Loss u,Average L2 Loss r
0.0,inf,inf
2.0,0.009297115305732703,0.02266840459875403
4.0,0.07855685540653859,0.12278497671802067
6.0,0.010285062750056528,0.017732685834914847
8.0,0.01920529737067593,0.014457989297654973
10.0,0.011694593854140525,0.006058841871608937
12.0,0.007804712107815998,0.006395831455523111
14.0,0.0034375524365990017,0.006503130610994618
16.0,0.021594535170487796,0.00754050206005556
18.0,0.007494760987849554,0.005161043652008467
20.0,0.003694778363623205,0.00876891398119308
22.0,10.641554029961478,0.00879121393139338
24.0,0.02082078893087392,0.008086893941249711
26.0,0.4049104579856663,0.017661099159181928
28.0,8.438116742231664,0.4419130984365918
30.0,4.378059714854073,0.894396194356732
32.0,4.279654746850253,0.9937777319332839
34.0,0.9999625579315177,1.0000000416322905
36.0,0.9999637842532895,1.0000001106550638
38.0,171109.9279871866,0.9999996352690841
40.0,12599.63602493881,1.0000000456317901
