a,nn,error_u,error_r
3,4,25964451282322.133,1406530831113.3066
3,12,0.010021017547627497,0.011488644860628372
3,20,0.03321873156335949,0.005871661719271123
3,28,0.0018263531357919102,0.01003147245367477
3,36,0.005620819507031637,0.013176832857131978
3,44,0.0029250584161730976,0.012857229144777554
4,4,2.1165577464799834,0.0013155204522958927
4,12,0.1326552162521139,0.012910006638780721
4,20,0.19611681184464466,0.016066948744869605
4,28,1.0817983529395236,0.07318828580242333
4,36,0.9425335240195551,0.03912002157462313
4,44,0.6458505283670255,0.025369382095648235
5,4,3.023664733374033,9.972983023710813e-06
5,12,0.7383950109673345,5.01775725508177e-06
5,20,0.019868452477428765,0.008180088713872826
5,28,0.06243360251438603,0.009997932764172119
5,36,0.06273124787964622,0.012416864393732572
5,44,0.12175286867320086,0.010715890814852806
6,4,14136946060692.22,66072385224.44269
6,12,3.3992771992020843,0.0004659420876511901
6,20,0.04020939242740969,0.022397303581745905
6,28,0.21326131352268352,0.01081158529361795
6,36,0.14160213393216114,0.009772012339879038
6,44,0.17653247274938594,0.009505917363956982
7,4,7.796404265659294,2.2410678995754676e-06
7,12,2.93762248638479,1.1392813403591046e-06
7,20,0.058827679565483584,0.0012426606436563208
7,28,0.03183178779562332,0.012382093708808
7,36,0.05782579969250718,0.04274826332533239
7,44,0.08958940306293235,0.05342162007509046
8,4,5.717679808177532,8.241628328391556e-05
8,12,5.6406513984174405,0.00016705573342522536
8,20,0.09218010713982269,0.0005653725080493559
8,28,0.0593011581477287,0.05162421595666582
8,36,0.4337189095035587,0.01493957844596254
8,44,0.3013361448222847,0.04672667495614765
